220404-01:32:05 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:11 [INFO] -- Poll: TimesUp 84546 0
220404-01:32:11 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:11 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:32:11 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:11 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:17 [INFO] -- Poll: TimesUp 25094 0
220404-01:32:17 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:17 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:32:17 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:17 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:23 [INFO] -- Poll: TimesUp 90418 0
220404-01:32:23 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:23 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:32:23 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:23 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:29 [INFO] -- Poll: TimesUp 54956 0
220404-01:32:29 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:29 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:32:29 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:29 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:35 [INFO] -- Poll: TimesUp 35703 0
220404-01:32:35 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:35 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:32:35 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:35 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:41 [INFO] -- Poll: TimesUp 95690 0
220404-01:32:41 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:41 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:32:41 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:41 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:47 [INFO] -- Poll: TimesUp 68235 0
220404-01:32:47 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:47 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:32:47 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:47 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:53 [INFO] -- Poll: TimesUp 82340 0
220404-01:32:53 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:53 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:32:53 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:53 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:59 [INFO] -- Poll: TimesUp 10747 0
220404-01:32:59 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:59 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:32:59 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:32:59 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:05 [INFO] -- Poll: TimesUp 36032 0
220404-01:33:05 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:05 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:05 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:05 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:33:11 [INFO] -- Poll: TimesUp 34043 0
220404-01:33:11 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:11 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:11 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:33:11 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:17 [INFO] -- Poll: TimesUp 69524 0
220404-01:33:17 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:17 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:17 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:33:17 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:23 [INFO] -- Poll: TimesUp 53855 0
220404-01:33:23 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:23 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:23 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:23 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:33:29 [INFO] -- Poll: TimesUp 71223 0
220404-01:33:29 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:29 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:29 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:33:29 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:35 [INFO] -- Poll: TimesUp 84917 0
220404-01:33:35 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:35 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:35 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:35 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:33:41 [INFO] -- Poll: TimesUp 37724 0
220404-01:33:41 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:41 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:41 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:41 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:33:47 [INFO] -- Poll: TimesUp 93312 0
220404-01:33:47 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:47 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:47 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:33:47 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:53 [INFO] -- Poll: TimesUp 33133 0
220404-01:33:53 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:53 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:53 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:53 [INFO] -- PollAck: LockerReaderDriver is up!
